id,EAP,MWS,HPL
id02310,0.014866513684821564,0.9841313099297654,0.0010021763854087167
id24541,0.9954513175368842,0.00033414103262656354,0.004214541430492832
id00134,0.12800977802135777,0.0033340209540586125,0.8686562010245898
id27757,0.886143678024733,0.0006823607680218582,0.11317396120725787
id04081,0.6517948678771316,0.09299240416493067,0.25521272795793376
id27337,0.9827556452761456,0.0005962270605108808,0.016648127663340846
id24265,0.7387707359640341,0.014316644209794687,0.24691261982617338
id25917,0.0017598002319628402,0.9320706676066401,0.06616953216139015
id04951,0.9990566147906904,2.3663761046040425e-06,0.0009410188332082365
id14549,0.9327731657648278,0.060544450336776814,0.006682383898395609
id22505,0.03307899160291585,0.9514375919801543,0.015483416416917074
id24002,5.022810062861969e-05,6.579734983404641e-05,0.9998839745495235
id18982,0.17794068662987977,0.4963997018439332,0.3256596115261805
id15181,0.0036078156232638445,0.00018994438262296036,0.9962022399941123
id21888,0.826216445739925,0.12243302433161732,0.051350529928454305
id12035,0.00024648718417768047,0.9997195536504621,3.395916536269842e-05
id17991,0.16214680417077737,0.824968083578172,0.012885112251054995
id10707,0.9999962566071622,3.275999904642496e-06,4.673929264900485e-07
id07101,0.4359228389746267,0.4634596692758055,0.10061749174957026
id00345,0.4204072003408698,0.014703336865466005,0.5648894627936641
id05912,0.9511777772246166,0.038028405916825866,0.010793816858556638
id13443,0.9986993939590983,0.00099997156724965,0.0003006344736497799
id09248,0.33976938668832607,0.6282285670386095,0.03200204627306666
id17542,0.00442757785374635,0.0017843518454068012,0.9937880703008432
id06995,0.030685367998356736,0.9685875491344084,0.0007270828672413901
id25159,0.6876109057738188,0.3044545639960485,0.007934530230128306
id25729,0.504997699110035,0.01289717550029788,0.48210512538966577
id26949,0.9700843774232726,0.012103919764971032,0.01781170281175804
id27191,0.06690359030135283,0.9327466595338121,0.0003497501648439705
id07668,0.03317117077767629,0.9667659481840818,6.288103823673107e-05
id02230,0.03103811799667567,0.9135646995138039,0.05539718248951684
id15553,0.9997643217270509,0.00018711406441335721,4.8564208536004624e-05
id25688,0.00016415255665914452,0.001023610861446313,0.9988122365818941
id17545,0.9991039303993331,0.0006988238426127273,0.0001972457580482678
id13929,0.314030605035416,0.44082002375475393,0.24514937120983174
id12880,0.29282913640328057,0.3464839291036976,0.3606869344930185
id19282,0.9196506787171181,0.07223727369913684,0.008112047583747178
